country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster9,kmeans6
Norway,35-54 years,male,1.9740515977693303,9.55944787566648,-75.682274,9.069788,7,5
Norway,5-14 years,female,-3.6528925345327736,9.436431307754987,-75.71344,-3.9865417,0,5
Norway,5-14 years,male,-3.535074970972464,9.44117474386768,-75.1644,-4.0101986,0,5
Norway,55-74 years,female,-1.3466730366467923,9.497085351796395,-75.512215,-0.9065564,0,5
Norway,55-74 years,male,2.1675638777535915,9.566058069401329,-74.772095,8.8756485,7,5
Norway,75+ years,female,-2.4003361807890133,9.473895423037668,-74.94267,-2.5750585,0,5
Norway,75+ years,male,3.0293798246365022,9.60036894915776,-75.05041,9.847694,7,5
Puerto Rico,15-24 years,female,-3.2227738840251954,-0.6082125480801711,-19.40656,54.10951,8,1
Puerto Rico,15-24 years,male,-1.1007224188022566,-0.588139574075843,-15.205657,35.253048,8,1
Puerto Rico,25-34 years,female,-2.9824898713310692,-0.6079242426291575,-19.53292,55.426254,8,1
Puerto Rico,25-34 years,male,0.7357419398218507,-0.5734953678830629,-8.6031685,30.955282,8,3
Puerto Rico,35-54 years,female,-2.790422537236266,-0.6080871060085038,-19.299139,56.14049,8,1
